cpu_percent,mem_total,mem_used,mem_free,mem_percent,bytes_sent,bytes_recv,timestamp,ts_writerow
0.2,2000,132,1065,15.6,2565497,57844724,2021-03-10 20:22:53.631216,2021-03-10 20:24:21.403164
0.3,2000,132,1065,15.6,2571088,57848976,2021-03-10 20:24:53.660811,2021-03-10 20:25:21.407898
0.3,2000,132,1065,15.6,2571088,57848976,2021-03-10 20:24:53.660811,2021-03-10 20:26:21.414422
0.3,2000,132,1065,15.6,2576591,57853568,2021-03-10 20:26:53.802125,2021-03-10 20:27:21.418924
0.3,2000,132,1065,15.6,2576591,57853568,2021-03-10 20:26:53.802125,2021-03-10 20:28:21.424416
1.6,2000,154,1039,16.8,2582878,57858790,2021-03-10 20:28:53.815902,2021-03-10 20:29:21.430665
1.6,2000,154,1039,16.8,2582878,57858790,2021-03-10 20:28:53.815902,2021-03-10 20:30:21.436359
0.4,2000,155,1038,16.8,2608361,57880344,2021-03-10 20:30:53.902526,2021-03-10 20:31:21.441543
0.4,2000,155,1038,16.8,2608361,57880344,2021-03-10 20:30:53.902526,2021-03-10 20:32:21.449924
0.5,2000,132,1061,15.7,2636604,57904510,2021-03-10 20:32:54.047243,2021-03-10 20:33:21.455663
0.5,2000,132,1061,15.7,2636604,57904510,2021-03-10 20:32:54.047243,2021-03-10 20:34:21.462661
0.3,2000,132,1061,15.7,2642047,57908490,2021-03-10 20:34:54.126465,2021-03-10 20:35:21.468430
0.3,2000,132,1061,15.7,2642047,57908490,2021-03-10 20:34:54.126465,2021-03-10 20:36:21.473376
0.3,2000,132,1061,15.7,2647878,57912870,2021-03-10 20:36:54.277294,2021-03-10 20:37:21.478858
0.3,2000,132,1061,15.7,2647878,57912870,2021-03-10 20:36:54.277294,2021-03-10 20:38:21.484345
0.3,2000,132,1061,15.7,2653089,57916834,2021-03-10 20:38:54.404872,2021-03-10 20:39:21.490526
0.3,2000,132,1061,15.7,2653089,57916834,2021-03-10 20:38:54.404872,2021-03-10 20:40:21.497021
0.3,2000,132,1061,15.7,2658538,57920968,2021-03-10 20:40:54.540426,2021-03-10 20:41:21.503359
